densidad  n_datos  prom_valor  desv_valor  prom_tiempo
0.100000       30   75.600000    1.496663     5.374743
0.200000       30   40.066667    0.771722     4.201740
0.300000       30   26.800000    0.476095     3.833840
0.400000       30   20.066667    0.442217     3.993490
0.500000       30   15.333333    0.471405     1.783017
0.600000       30   12.266667    0.442217     1.526783
0.700000       30   10.000000    0.000000     1.526097
0.800000       30    8.000000    0.000000     1.612073
0.900000       30    6.000000    0.000000     0.588797
