densidad,algoritmo,sol_promedio,std_sol,tiempo_promedio,mejor_sol
p0c0.3,IRACE,25.83,0.5821,21.3025,27
p0c0.3,MANUAL,25.87,0.6700,19.6839,27
p0c0.7,IRACE,9.53,0.4989,15.8977,10
p0c0.7,MANUAL,9.87,0.3399,18.6377,10
