densidad  n_datos  prom_valor  desv_valor  prom_tiempo
0.100000       30   62.966667    1.580787     0.916043
0.200000       30   34.166667    0.778175     1.186987
0.300000       30   23.300000    0.585947     0.684410
0.400000       30   17.433333    0.615540     0.965677
0.500000       30   13.933333    0.249444     1.460010
0.600000       30   11.066667    0.249444     0.161637
0.700000       30    9.000000    0.000000     0.214007
0.800000       30    7.033333    0.179505     0.198180
0.900000       30    5.433333    0.495536     1.037207
